question,answer,normalized_aliases,correctness
By what name is acetylsalicylic acid more commonly known when kept in the medicine cupboard ?," Aspirin
","['junior aspirin', 'myoprin', 'nu seals aspirin', 'bufferin', 'acetylsalicylate', 'acetophen', 'salacetin', 'neuronika', 'empirin', 'kardegic', 'colfarit', '8 hour bayer', 'pirseal', 'dolean ph 8', 'atcvet code qa01ad05', 'entericin', 'acetylsalicylic', 'dolopirin', 'baby aspirin', 'solpyron', 'caprin', 'tasprin', 'aspirin', 'ecolen', 'acesal', 'aspégic', 'acimetten', 'acetonyl', 'triaminicin', 'acetyl salicilic acid', 'bialpirina', 'solprin acid', 'aceticyl', '2 acetyloxybenzoic acid', 'spira dine', 'entrophen', 'rhonal', 'asteric', 'temperal', 'acetosal', 'fasprin', 'monoacetic acid ester of salicylic acid', 'novid', 'measurin', 'atc code a01ad05', 'endydol', 'acylpyrin', 'enterosarein', 'zorprin', 'easprin', 'cemirit', 'premaspin', 'acetylin', 'acetosalin', 'globentyl', 'calcium acetylsalicylate', 'contrheuma retard', 'aspirin synthesis', 'atcvet code qb01ac06', 'nu seals', 'atc code n02ba01', 'triple sal', 'yasta', 'magnyl', 'micristin', 'enterosarine', 'bi prin', 'acenterine', 'saletin', 'asagran', 'trombyl', 'halfprin', 'aspirin allergy', 'atc code b01ac06', 'persistin', 'decaten', 'pharmacin', 'extren', 's empirin', 'adiro', 'aspalon', 'aspec', 'ecotrin', '2 ethanoylbenzenecarboxylic acid', 'acetyl salicylic acid', 'acetylsalicyclic acid', 'atcvet code qn02ba01', 'supac', 'sedergine', 'salcetogen', 'clariprin', 'claradin', 'asatard', 'solfrin', 'acetylsalicylic acid', 'aspirine', 'polopiryna', 'asparin', 'rheumintabletten', 'delgesic', 'acetylosalicylic acid', 'low dose aspirin', 'acetylsal', 'genacote', '81mg', 'aspirdrops', 'acetisal', 'rhodine', 'solprin', 'levius', 'idragin', 'ascoden 30', 'enterophen', 'acisal', 'bialpirinia', 'benaspir']",Correct
"The Neva, Vistula and Oder rivers flow into which sea?"," Baltic
","['baltic', 'baltic disambiguation']",Correct
"In which of the Marx Brothers' films did Groucho Marx play the character 'Rufus T. Firefly, Prime Minister of Freedonia'?"," Duck Soup
","['duck soup film', 'duck soup disambiguation', 'duck soup movie', 'duck soup']",Correct
Bamako is the capital of which West African Republic?," Mali
","['malinese', 'république du mali', 'malian republic', 'sudanese republic', 'mali', 'iso 3166 1 ml', 'republic of mali', 'sport in mali', 'administrative divisions of mali', 'republique du mali']",Correct
What is the name for someone who engages in the scientific study of fermentation?," Zymologist
","['zymurgy', 'zymology', 'zymurgist']",Incorrect
"Named after its inventor, what is the signal lamp used to transmit Morse Code, devised in the late 1800s and still used today on naval ships?"," Aldis lamp
","['signal lamps', 'signal lamp', 'arthur c w aldis', 'morse lamp', 'aldiss lamp', 'aldis lamp']",Correct
Which is the closet planet to the sun to have a moon ?," Venus
","['world geography', 'terra planetry science', 'sol iii', 'earth word', 'formation of earth', 'sol prime', 'earth s mean density', 'earth sol', 'sun d', 'whole world', '🌏', 'blue and green planet', 'eareth', 'etymology of word 22earth 22', 'sol d', '🌍', 'surface area of earth', 'mean density of earth', '🌎', 'lexicography of earth', 'third planet from sun', 'earth s surface', '806 4616 0110', 'sol 3', 'tierra planet', 'surface of earth', 'earth', 'home planet', 'globe earth', '♁', 'terra planet', 'planet of water', 'terra name for earth', 'erde', 'planet earth', 'local planet', '🗺', 'sol3', 'tellus planet', 'composition of earth', 'telluris', 'earth planet', 'third planet', 'green and blue planet', 'earf']",Incorrect
Dydd Sadwrn is Welsh for which day of the week?," Saturday
","['sabotnichavi', 'shanivar', 'sabbatianoí', 'sabbatianoi', 'brown town', 'dies saturni', 'saterday', 'saturday', 'sábado', 'sabado', 'sâbotnichavi', 'sathurday', 'second saturday', 'sabbatianos']",Correct
The Bible. Who was the royal person who questioned the wisdom of Solomon?," Queen of Sheba
","['nigist saba', 'queen of sheeba', 'bilquis', 'makeda', 'belkis queen of sheba', 'balkis', 'makedah', 'bilqis', 'islamic view of queen of sheba', 'balqis', 'bilkis', 'nikaule', 'queen makeda', 'balkas', 'queen sheba', 'queen of sheba', 'nicaula', 'queen of sabat', 'queen of saba']",Correct
What is the surname of Rebecca in the novel by Daphne du Maurier?," De Winter
",['de winter'],Correct
Which isolated British island is half way between Easter Island and Tahiti?," Pitcairn Island
","['pitcairn isand', 'economy of pitcairn islands', 'transportation on pitcairn islands', 'pitcairn islands transportation', 'tourism in pitcairn islands', 'pitcairn islands history', 'pitcairn islands communications', 'pacific pitcairn', 'communications in pitcairn islands', 'commonwealth of pitcairn', 'pitcairnisland', 'pitcairn islands military', 'telecommunications in pitcairn islands', 'education in pitcairn islands', 'pitcairn islands people', 'pitcairn s island', 'pitcarin island', 'transport in pitcairn islands', 'pitcairn island', 'pitcairn islands', 'pitcairn henderson ducie and oeno islands', 'transportation in pitcairn islands', 'pitcairn islands economy', 'communications on pitcairn islands', 'iso 3166 1 pn', 'pitcairn']",Correct
What is the upper house of the British Parliament?," House of Lords
","['british house of lords', 'house of lords parliament of united kingdom of great britain and ireland', 'gilded chamber', 'english house of lords', 'right honourable lords spiritual and temporal of united kingdom of great britain and northern ireland in parliament assembled', 'house of lords uk', 'united kingdom house of peers', 'house of peers of united kingdom of great britain and northern ireland', 'noble friend', 'house of lords united kingdom', 'united kingdom house of lords', 'lords spiritual and temporal', 'house of lords parliament of united kingdom of great britain and northern ireland', 'ukhl', 'house of lords', 'house of lords of united kingdom of great britain and northern ireland', 'house of peers of united kingdom', 'house of lords of united kingdom']",Correct
What is the name for the process of heating milk to lengthen its shelf life?," Pasteurization
","['pasteurizations', 'pasteurized milk', 'pasteurising', 'double pasteurization', 'pasteurization', 'pasteurized', 'pasteurise', 'pasteruisaton', 'pasteurizer', 'pasteurize', 'pasturisation', 'unpasteurized', 'milk pasteurisation', 'pasteurizing', 'milk pasteurization', 'pasteurised', 'pasteurisation', 'pasturize']",Correct
Brer Rabbit stories originated as Cherokee myths but which author compiled the Brer Rabbit stories?," Joel Chandler Harris
","['joel chandler harris', 'harris joel chandler', 'joel harris']",Correct
What is the surname of Sam in the US television series ‘Cheers’?," Malone
","['malone surname', 'malone']",Correct
Who directed the 1969 film 'Easy Rider'?," Dennis Hopper
","['dennis hoper', 'dennis hopper filmography', 'denis hopper', 'dennis lee hopper', 'hopper dennis', 'dennis hopper']",Correct
Elaine Bookbinder is the real name of which Mancunian singer?,"	Elaine Paige
","['we ve got tonight castle', 'no more fool compilation', 'we ve got tonight elkie brooks album', 'elkie brooks discography', 'elkie brooks', 'we ve got tonight spectrum', 'no more fool 2003 album', 'songs of love elkie brooks album', 'elaine bookbinder']",Incorrect
Which chemical has the formula SO2?," Sulphurous dioxide
","['preservative 220', 'sulfur iv oxide', 'r 764', 'sulfurous anhydride', 'sulfur dioxide', 'sulfurous acid anhydride', 'vitriolic acid air', 'sulfurous oxide', 'sulphur iv oxide', 'sulphurous anhydride', 'sulphur dioxide', 'sulfur dioxides']",Incorrect
"What semi-precious stone decorated Tutankhamun's burial mask, and is the colour of the American Robin's eggs?"," Lapis Lazuli
","['cual6 po4 4 oh 8·4h2o', 'new mexico state gem', 'torquoise', 'turqoise', 'turquois', 'tourquoise', 'turquoise', 'turquise']",Incorrect
Which popular chocolates are named after a play by JM Barrie?," Choco-le-land
","['quality street', 'quality street disambiguation']",Incorrect
To which native American tribe did Chief Crazy Horse belong?," Oglala Lakota
","['eastern sioux', 'sioux people', 'soo', 'na˙towe˙ssiw', 'su people', 'ihanktonwan', 'su', 'sue', 'sioux', 'sue people', 'siouian', 'soo people', 'oceti sakohowin', 'sioux indian', 'souix']",Incorrect
Which jazz singer was known as 'The King of Hi de Ho' ?," Cab Calloway
","['cabell 22cab 22 calloway', 'cabell cab calloway', 'cab calloway and his orchestra', 'cab calloway orchestra', 'cab callaway', 'cab calloway and his cotton club orchestra', 'cabell calloway', 'cab calloway his orchestra', 'cab calloway', 'cabell calloway iii']",Correct
In The Mikado who does Nanki-Poo love and eventually marry?," Yum-Yum
","['yum yum disambiguation', 'yumyum', 'yum yum']",Correct
"If someone is born on the 24th May, what is their Zodiac sign?"," Gemini
","['gemeni', 'gemini single', 'gemini movie', 'gemini disambiguation', 'gemini film', 'gemini album', 'gemini', 'gemini band', 'geminis', 'gemini song', 'gemini 2002 film']",Correct
"The least densely populated country in the world, what is the largest island in the world, by area, that is not a continent?"," Greenland
","['sport in greenland', 'island of greenland', 'kangat bay', 'kalaallit nunaat', 'lupanlunti', 'social issues in greenland', 'climate of greenland', 'lupanglunti', 'iso 3166 1 gl', 'name of greenland', 'greenland island', 'greenland', 'antarctica of north', 'kallaallit nunaat', 'eastern greenland', 'greenlanders', 'greenlander', 'western greenland', 'grinland', 'green land']",Correct
"""Who is involved in a """"curtain call""""?"""," Theatre actors
","['performing artists', 'performer', 'performing arts', '🎭', 'theatre and dramatic arts', 'history of performing art', 'performers', 'history of performing arts', 'triple threat entertainer', 'performing artist', 'performing art']",Incorrect
Which element has atomic number 8?,"0xygen
","['oxygen xml grid', 'oxygen xml text', 'oxygen editor', 'oxygen software', 'oxygen xml author', 'oxygen xml editor', 'oxygen', 'oxygen xml']",Incorrect
The English resort of Bournemouth lies on which body of water?," English Channel
","['dover traffic separation system', 'channel swimming', 'mor bretannek', 'english channel', 'british channel', 'la manche', 'english chanel', 'narrow seas', 'anglo french pond', 'channel', 'englishchannel', 'british sea', 'mor breizh']",Correct
Mora-Siljan Airport is in which European country?," Sweden
","['ulf bergman', 'swea region', 'swedish origin', 'swedish climate', 'kingdom of sweden', 'sveden', 'suecia', 'swedish realm', 'zweden', 'iso 3166 1 se', 'mainland sweden', 'konungariket sverige', 'schweden', 'sweden', 'sverige', 'swedish sin', 'climate of sweden', 'etymology of sweden']",Correct
In which city are the headquarters of Mercedes?," Stuttgart
","['stuttgart germany', 'city of stuttgart', 'stuttgart', 'stuttgart unrra displaced persons camp', 'stuttgard', 'cannstatt', 'stoccarda', 'stuttgart west germany', 'untertürkheim', 'bad cannstadt', 'unterturkheim', 'untertuerkheim', 'bad cannstatt', 'canstatt', 'un locode destr', 'stuttgart vaihingen']",Correct
Gunn-toting Wyatt Earp survived to what age?,"80
","['eighty', '80']",Correct
What was the occupation of the George Eliot character of Silas Marner?," Weaver
","['weavers', 'weaver', 'weaver disambiguation']",Correct
"""""""Service"""" is the way the ball is put into play in which game?"""," Tennis
","['professional tennis player', 'break point', 'big tennis', 'set point tennis', 'lawn tennis', 'match tiebreak', '🎾', 'game point', 'tennis player', 'tenniz', 'tenis', 'tennis', 'match point tennis', 'tennis coaching', 'championship point']",Correct
Who presents 'Sounds Of The Sixties' on BBC Radio 2 on Saturday mornings?," Brian Matthew
",['brian matthew'],Correct
What is the common name of the creature Asterias Rubens?," Sea star
","['seastar', 'star fishes', 'comet starfish', 'star fish', 'sea stars', 'seastars', 'starfish', 'asteroidea starfish', 'asteroidia', 'asteroidea', 'sea star', 'seastarr', 'blood star']",Correct
How many people were in the band The Thompson Twins?,"3
","['three', '3']",Correct
"Which boy band, active from 2008 to 2013, included Marvin Humes and Aston Merrygold?"," JLS
","['unique famous outrageous', 'jonathan j b gill', 'jack lad swing', 'jonathan 22jb 22 gill', 'j b gill', 'jonathan gill', 'jls uk and ireland tour 2010', 'jls', 'jls band', 'jls group', 'jls x factor group', 'jonathan benjamin gill', 'jonathan 22j b 22 gill', 'jls jack lad swing']",Correct
What was Michael Jackson's last UK No 1 of the 80s?,"1999
","['i just can t stop loving you', 'todo mi amor eres tu', 'je ne veux pas la fin de nous']",Incorrect
"Anna Kournikova, Michelangelo, ILOVEYOU, and Melissa were examples of what?","20th century viruses
","['stealth virus computers', 'e mail virus', 'dos boot record infector virus', 'email virus', 'pc virus', 'file virus', 'software virus', 'stealth virus', 'file infector', 'boot virus', 'boot sector virus', 'viral programming', 'mm', 'summary of computer viruses', 'virus program', 'virus signature', 'stealth adapted virus', 'computer virus', 'surfsidekick', 'virus computing', 'internet virus', 'vital information resource under siege', 'phone virus', 'computer viruses', 'computer viri', 'comuter virus', 'threat of internet viruses', 'mail virus', 'online virus', 'virus computers', 'computer virology', 'hello computer virus', 'virus computer', 'computer virus wikipedia', 'computer virus threat']",Incorrect
