question,answer,normalized_aliases
Proton Cars were originally produced in which country?,"1991
","['name of malaysia', 'malayasia', 'malyasia', 'maylaysia', 'malaysia', 'malaisie', 'malaisia', 'malasia', 'm sia', 'kingdom of malaysia', 'republic of malaysia', '马来西亚', 'federation state of malaysia', 'malaysian federation', 'malaixiya', 'etymology of malaysia', 'maylasia', 'malaysia sports', 'federation of malaysia', 'malay kingdom', 'மலேசியா', 'ماليزيا', 'malaysian kingdom', 'iso 3166 1 my', 'persekutuan malaysia']"
Who sailed around the world on the Golden Hind?,"1577
","['drake voyages of francis', 'francisco draco', 'drake voyages of sir francis', 'francis drake', 'sir francis drake', 'draque', 'el draque', 'francis drake voyages of']"
Who produced the first Jetliner in 1957?,"3M
","['boeing international', 'boeng', 'boeing information services inc', 'boeing commercial airlines', 'boeing company', 'boeing aircraft of canada', 'beoing', 'william boeing jr', 'boeing aircraft corp', 'continental datagraphics', 'pacific aero products company', 'boeing', 'boeing co', 'www boeing com', 'pacific aero products co', 'x vehicles', 'boeing information services', 'boeing aircraft company', 'boeing aircraft corporation', 'pacific aero products', 'boeing computer services', 'boeing electronics inc', 'list of boeing factories', 'nyse ba', 'boeing electronics', 'boeing corporation', 'boeing aircraft']"
The consumption of Touareg tea which is tea flavored with which herb is widely prevalent in several Arab countries?," Mint
","['mint disambiguation', 'mint', 'mint herb', 'mint plant', 'mint botany']"
The Bhagavad Gita is an important scripture of which religion?,"1
","['hindu ethnic group', 'sanatan dharm', 'hinduisme', 'hiduism', 'hindu society', 'vedic dharma', 'hindu religious mantras', 'sanatan dharma', 'hinduisem', 'santana dharma', 'hindu views of sin', 'hindu symbolism', 'hinduisam', 'hindu dhamma', 'hindusim', 'sanathana dharma', 'hindu people', 'veda dharma', 'sanatana dharma', 'hindooism', 'prophets in hinduism', 'hindism', 'hindu ethnicity', 'listing of noted hindus', 'hinduism myths and realities', 'vaidika dharma', 'hindu religion', 'hinduism ii', 'hindus in iran', 'hindu religious texts', 'puranic hinduism', 'hinduity', 'hindū', 'hindu views on sin', 'सनातन धर्म', 'rulership in hinduism', 'sanathana darma', 'hindu societies', 'hindu culture', 'hindiusm', 'ethics of hinduism', 'sanātan dharm', 'sanctity of cow', 'hinduism', 'hindu shudra', 'santana dharama', 'hindu values']"
Which cartoon character was born at the Daisy Hill Puppy Farm?,"101 Dalmatians
","['snoopie', 'daisy hill puppy farm', 'snoopy', 'snoopy dog']"
Which dynasty has ruled the Netherlands since 1815?," House of Orange-Nassau
","['oranje nassau', 'house of orange', 'royal house of netherlands', 'house of oranje nassau', 'prince of orange nassau', 'huis van oranje nassau', 'nassau orange', 'orange nassau dynasty', 'house of orange nassau']"
In the Bible what was the name of Cain's first-born son?," Enosh
","['hanokh', 'enock', 'chanokh', 'enoch', 'enoch disambiguation']"
Tony Blair has two middle names. What are they?," George and Peter
",['charles lynton']
"Although never actually used in the books, the phrase ""Elementary, my dear Watson."" is commonly attributed to whom?"," Sherlock Holmes
","['sherlockholmes', 'elementary my dear watson', 'shrlock holmes', 'inspector holmes', 'holmes and watson', 'sherlock holmes', 'sherlock holmes character', 'sherlock homes', 'three pipe problem', 'sherlock holmes fallacy', 'shirlock holmes']"
What is the name of Captain Mainwaring's wife,"1950s
","['elisabeth disambiguation', 'elishaba', 'elizabeta', 'elizabeth', 'elizabeth city united states', 'elishava', 'elisabeth', 'elishebha', 'elizabet', 'élisabeth', 'babeth', 'elizabeth disambiguation', 'elishabha', 'elizabeta disambiguation']"
What dialect did the Oakland School Board propose teaching classes in?," Black English
","['ebonics', 'ebonics disambiguation']"
"""""""Prelude a I'apres-midi d'un faune"""" and """"La Mer"""" are amongst the works of which impressionist composer?"""," Debussy
","['claude achille debussy', 'debussy', 'achille claude', 'debussian', 'debussy claude', 'claude debussy', 'debussyan', 'c debussy', 'claude emma debussy', 'ballets by claude debussy', 'debussey', 'achille claude debussy']"
"Which T.V. Quiz show host used the catchphrase :- I mean that most sincerely, friends ?"," Bob Hope
","['hughie green', 'hughy green', 'hughie greene', 'hughie green most sincerely']"
"Which French physicist gave the first successful theoretical account of heat engines, now known as his namesake cycle, thereby laying the foundations of the second law of thermodynamics?"," Sadi Carnot
","['sadi carnot', 'sadi carnot disambiguation']"
What popular superhero is also the largest land-dwelling member of the Mustelidae (weasel) family?,"	The Hulk
","['wolwerine', 'quiquehatch', 'wolverene', 'guloninae', 'gulo gulo', 'järv', 'wolverines', 'skunk bear', 'quickhatch', 'jarv', 'gulo', 'jaerv', 'wolverine fur', 'wolveriene', 'gulo gulo luscus', 'wolverine', 'wolverine animal', 'european wolverine']"
"Today marks the birthday of Jetsun Jamphel Ngawang Lobsang Yeshe Tenzin Gyatso, born Lhamo Dondrub, the 14th Spiritual leader of Tibet who fled to India in 1959, better known as whom?","14th Dalai Lama
","['taa la i bla ma', 'dalai lamas', 'ཏཱ་ལའི་བླ་མ་', 'his holiness xivth dalai lama', 'dalai lama', 'dolly llama', 'h h dalai lama', 'dalai blama', 'hhdl', 'dali lamma', 'dalaï lama', 'dali lama', 'dalli lama', 'dálài lǎmā', 'sku mdun', 'dalai llama', 'dali llama']"
Who was the first woman in the Bible?," Eve
","['havvah', 'ḥawā', 'mother of mankind', 'eve bible', 'havyavati', 'eve islam', 'ḥavvāh', 'mother of all mankind', 'eve', 'حواء', 'hawwa', 'חַוָּה', 'eve first woman']"
The 2000-yr old Banaue rice terraces built largely by hand in the Ifugao mountains that cover 4000 square miles are in which country?," Philippines
","['etymology of philippines', 'philippinan', 'philippines colonial history', 'legazpi boulevard', 'pilipinas', 'republic of philippines', 'pinas country', 'islas de filipinas', 'philippine archipelago', 'filipino republic', 'islas filipinas', 'philiphines', 'fillipines', 'phillipine', 'phillipines', 'las islas filipinas', 'phillipenes', 'philipine', 'philippines republic', 'lu sung', 'philippine republic', 'republic of pilipinas', 'phillippenes', 'regional population of philippines', 'republika ng pilipinas', 'philippenes', 'phillippine', 'filippines', 'fillippines', 'philipines', 'department of health center for health development', 'phillippines', 'iso 3166 1 ph', 'filipines', 'philippine', 'philippines', 'philippine islands', 'philippines archipelago']"
What do we call the elongated hill in the shape of a half-buried egg formed by glacial ice?," Drumlin
","['drumlin fields', 'drumlins', 'drumlin field', 'drumlin']"
Who composed the music to the comic opera The Bartered Bride'?," Bedich Smetana
","['smetana', 'smetna', 'bedřich smétana', 'friedrich smetana', 'bedřich smetana', 'smétana', 'bedrich smetana']"
The Oaks horse race is run at which British race course?," Epsom
",['epsom downs']
What is the common name of the purple flowering garden plant Lunaria valued for its seed pods?,"20p plant
","['honesty', 'frankness', 'veracity ethics', 'veracious', 'honest', 'truthful']"
In which country did Victoria Adams marry David Beckham?,"1999
","['irlandia', 'erin s isle', 'héireann', 'airlann', 'ireland', 'irelanders', 'airlan', 'mikra britannia', 'irelander', 'population of ireland', 'west coast of ireland', 'scotia major', 'symbol of ireland', 'irland', 'auld sod', 'island of ireland', 'ireland region', 'irlanda', 'ireland ulster', 'ierne placename', 'island ireland', 'ireland island', 'ireland and ulster']"
"What is the name of the Japanese form of therapy that uses simple hands-on, no touch, and visualisation techniques, with the goal of improving the flow of life energy in a person?"," Shiatsu
","['skhm', 'become reiki master', 'reiki history', 'attunement reiki', 'timeline of reiki history', 'reikki', 'seichim', 'reike', 'reiki symbols', 'reiki tummo', 'reiki master', 'reiki charge', 'usui do', 'raiki', 'padmacahaya', 'reiki faq', 'master yoga reiki tummo', 'reiki jin kei do', 'master yoga', 'reiki controversies', 'reiki healing', 'padmajaya', 'irmansyah effendi', 'reiki initiation', 'reiki', 'healix', 'seichem']"
Which Oasis album became a million seller within days of its release in 1997?,"1st album
","['be here now', 'be here now disambiguation']"
"Born in Paris in 1848, he pained many pictures of Polynesian life and died in the Marquesas Islands in 1903. Who was he?"," Paul Gauguin
","['eugcne henri paul gauguin', 'paul gaugin', 'gaugin', 'gauguin', 'eugčne henri paul gauguin', 'paul gauguin', 'eugene henri paul gauguin', 'eugène henri paul gauguin']"
"""The highly acclaimed stage comedy """"Noises Off"""" was written by which playwright ?"""," Michael Frayn
",['michael frayn']
"Peruvian Lina Medina, aged 5, made history in 1939 as the youngest person to do what?"," Give birth
","['labor progression', 'delivery ward', 'partuition', 'labor pain', 'birth pangs', 'stages of labor', 'stages of labour', 'augmentation of labour', 'molding obstetrics', 'labor interventions', 'second labor stage', 'partum', 'in labour', 'give birth', 'maternity unit', 'labor and delivery', 'phase of labour', 'maternity ward', 'monitoring in childbirth', 'peripartum', 'labour ward', 'augmentation obstetrics', 'pain in labor', 'alternatives to abortion', 'parturient', 'labor childbirth', 'labor physiology', 'labour childbirth', 'child birth', 'parturiency', 'giving birth', 'hospital labor ward', 'second stage of labor', 'labour pain', 'analgesics in childbirth', 'in labor', 'augmentation of labor', 'birthing', 'human birth', 'vaginal childbirth', 'childbirth', 'first stage of labor', '2 childbirth', 'labor ward', 'fetal expulsion']"
"Which boy band, active from 2008 to 2013, included Marvin Humes and Aston Merrygold?"," JLS
","['unique famous outrageous', 'jonathan j b gill', 'jack lad swing', 'jonathan 22jb 22 gill', 'j b gill', 'jonathan gill', 'jls uk and ireland tour 2010', 'jls', 'jls band', 'jls group', 'jls x factor group', 'jonathan benjamin gill', 'jonathan 22j b 22 gill', 'jls jack lad swing']"
Who replaced Chris Moyles as presenter of the Radio One Breakfast Show in September 2012?,"1Xtra's Greg James
",['nick grimshaw']
What is the ancient Hebrew ceremonial wind instrument made from a ram’s horn?," Shofar
","['shebarim', 'shofarot', 'ba al tokea', 'שופר', 'shofar']"
"Standing side by side in Stony Stratford on Watling Street are two ancient coaching inns. In the 18th century travellers tales became embellished as they passed between the two establishments, and the emanating tales began to be called after them, a pracitce continued to this day. What are the two inns called?","1. The Lamb and Flag, 2. The Old Swan
",['cock and bull']
Who was the only female candidate in the 2010 Labour Party leadership contest?,"1994
","['dianne abbott', 'diane abbott', 'dianne abbot', 'diane julie abbott', 'abbott diane', 'diane abbot']"
Which boxer's image appeared on the cover of the Band on the Run album?," Paul McCartney
",['john conteh']
On which horse-racing track is the Rowley Mile?," Newmarket
","['newmarket', 'newmarket disambiguation']"
Who is the main Patron Saint of France?,"11th-century Saint Denis
","['dennis of paris', 'st dionysus', 'saint denis of paris', 'saint denys', 'denîs', 'denis', 'dionysius of paris', 'denys of paris', 'denis of paris', 'st dionysius of paris', 'saint dennis of paris', 'saint dionysius of paris', 'saint denys of paris']"
What kind of extraterrestrial objet has been named after the 17th-century astronomer Edmond Halley?,"19P/Halley
","['coma astronomy', 'dirty snowball', 'coma comet', 'dark comet', 'jupiter family comet', 'comet', 'plasma tail', 'halley type comet', '☄', 'dirty snowball theory', 'comet tails', 'dirty snowball hypothesis', 'dirty snowball model', 'a1 comet', 'long period comet', 'black comets', 'short period comet', 'disconnection event', 'short period comets', 'comets', 'cometary', 'jupiter family', 'cometary nuclei', 'commet', 'tail comet']"
Which US boxing champion had the nickname 'Hit Man'?," Joe Louis
","['thomas hearns', 'thomas 22the hitman 22 hearns', 'tommy hearns', 'hitman hearns']"
In which year was NATO founded?,"1949
","['one thousand nine hundred and forty nine', '1949']"
"In heraldry, a bar sinister, a broad diagonal stripe from top right to bottom left on a shield, was supposed to signify what?","13th century English law
","['illegitimate children', 'natural children', 'fathered out of wedlock', 'illegitimate child', 'legitimacy law', 'illegitimacy', 'legitimate child', 'legitimacy family law', 'natural daughter', 'illegimate', 'extramarital child', 'bastardy', 'illegitimate', 'illegitimacy law', 'natural son', 'illegitamacy', 'in wedlock', 'natural child', 'legal legitimacy', 'illegitimate birth', 'out of wedlock', 'out of wedlock birth', 'born out of wedlock']"
What is the number of the MASH unit in the TV series?,"4077
","['4077', 'four thousand and seventy seven']"
"What was the name of the river, 200 m north of Rome, where returning generals disbanded their armies when returning from campaigns to keep order in or expand the Roman Empire?"," River Tiber
","['rubicone', 'river rubicon', 'rubicon', 'rubico', 'rubicon river', 'rubicom']"
In which building is Charles Darwin buried?,"10 Downing Street
","['st peter s monastery westminster', 'st peter westminster', 'st edmund s chapel westminster abbey', 'st peter s church westminster', 'westminster palace westminster abbey and saint margaret s church', 'westminster abbey and st margaret s church westminster palace westminster abbey and saint margaret s church', 'collegiate church of st peter westminster', 'westmister abbey', 'collegiate church of st peter at westminster', 'abbey of westminster', 'westminister abby', 'westminister abbey', 'westminster abbey', 'st peter s westminster', 'westminster abby']"
Which river forms part of the border between the USA and Canada?,"49th Parallel
","['lorenzo st lawrence', 'lawrence of rome', 'saint laurentius', 'st laurentius', 'st lawrence', 'patron saint of miners', 'saint lawrence', 'lawrence saint', 'st lorenzo', 'saint lawrence martyr', 'san lorenzo martire', 'lawrence martyr', 'saint laurence']"
"Which vessel, designed by Isambard Kingdom Brunel. was the first ocean-going steamer to be built of iron?"," SS Great Britain
",['ss great britain']
